Cruise,Station,Latitude ,Longitude,CTDPRS [DBARS],CTDTMP [ITS-90],SALNTY [PSS-78],TALK [UMOL/KG],pH [UMOL/KG],TCO2 in (mmol/kgSW),NO2+NO3 [umol/kg],PO4 [UMOL/KG],SiO2 [umol/kg],Ar,,,,,,
RFI,318,58.4465,310.43091,3.467,4.9762,34.464,2300.05,8.155,1929.7,3.43,0.47,2.68,1.75,,,,,,
RFI,318,58.4465,310.43091,10.638,4.9837,34.463,2300.53,8.155,1930.2,3.45,0.48,2.68,1.75,,,,,,
RFI,318,58.4465,310.43091,20.836,4.9807,34.486,2304.3501,8.148,1937.9,3.73,0.47,2.81,2.12,,,,,,
RFI,318,58.4465,310.43091,50.666,4.7623,34.55,2307.3501,8.146,1941.4,4.67,0.52,3.18,2.1,,,,,,
RFI,318,58.4465,310.43091,50.666,4.7623,34.55,2305.9199,8.147,1939.4,,,,2.07,,,,,,
RFI,318,58.4465,310.43091,50.666,4.7623,34.55,2305.8999,8.147,1939.4,,,,2.06,,,,,,
RFI,318,58.4465,310.43091,100.798,4.1232,34.815,2309.8501,8.033,2011.9,13.54,1.05,7.11,2.02,,,,,,
RFI,318,58.4465,310.43091,100.798,4.1232,34.815,2311.28,8.033,2013.2,,,,1.61,,,,,,
RFI,319,57.4439,310.40561,2.67,5.3631,34.749,2315.47,8.168,1932.2,4.35,0.29,0.05,2.24,,,,,,
RFI,319,57.4439,310.40561,19.823,5.2096,34.745,2315.8701,8.17,1931.2,4.6,0.34,0.08,2.23,,,,,,
RFI,319,57.4439,310.40561,19.823,5.2096,34.745,2314.77,8.17,1930.2,,,,2.22,,,,,,
RFI,319,57.4439,310.40561,19.823,5.2096,34.745,2311.4299,8.173,1925.3,,,,2.23,,,,,,
RFI,319,57.4439,310.40561,50.477,4.5931,34.761,2313.52,8.109,1969,7.99,0.58,1.98,1.92,,,,,,
RFI,319,57.4439,310.40561,100.965,4.2145,34.827,2313.1799,8.018,2023.6,14.35,1.04,6.33,1.57,,,,,,
RFI,320,57.4475,310.9509,4.314,5.6004,34.658,2308.3701,8.154,1936.1,4.56,0.47,2.65,2.18,,,,,,
RFI,320,57.4475,310.9509,10.38,5.6002,34.656,,,,4.44,0.47,2.51,,,,,,,
RFI,320,57.4475,310.9509,20.897,5.544,34.669,2311.23,8.152,1939.8,4.64,0.48,2.62,2.17,,,,,,
RFI,320,57.4475,310.9509,51.425,4.8346,34.695,2310.1399,8.126,1955.6,6.69,0.6,3.77,2,,,,,,
RFI,320,57.4475,310.9509,101.677,4.3305,34.84,2311.99,8.038,2010.7,13.44,1.03,6.9,1.64,,,,,,
RFI,320,57.4475,310.9509,101.677,4.3305,34.84,2312.71,8.04,2010.1,,,,1.65,,,,,,
RFI,322,57.4483,313.5235,4.345,5.3911,34.488,2301.73,8.142,1939.5,3.22,0.46,3.24,2.1,,,,,,
RFI,322,57.4483,313.5235,10.499,5.3894,34.489,2306.0801,,,3.62,0.54,2.22,2.11,,,,,,
RFI,322,57.4483,313.5235,20.775,5.3967,34.49,2290.3799,8.144,1928.1,3.66,0.48,2.07,1.92,,,,,,
RFI,322,57.4483,313.5235,50.389,4.2912,34.637,2310.05,8.099,1973.3,7.08,0.7,4.02,1.61,,,,,,
RFI,322,57.4483,313.5235,101.517,4.1759,34.833,2308.6699,8.03,2012.4,14.22,1.06,6.74,2.05,,,,,,
RFI,322,57.4483,313.5235,101.517,4.1759,34.833,2308.01,8.03,2011.8,,,,2.03,,,,,,
RFI,322,57.4483,313.5235,101.517,4.1759,34.833,2313.1599,8.03,2016.5,,,,2.03,,,,,,
RFI,325,57.4501,315.40271,3.234,5.732,34.56,2307.3799,8.153,1936.7,3.69,0.46,1.44,2.15,,,,,,
RFI,325,57.4501,315.40271,10.252,5.6764,34.569,2304.73,8.15,1936.2,4.06,0.45,1.38,1.84,,,,,,
RFI,325,57.4501,315.40271,10.252,5.6764,34.569,2305.8999,8.149,1937.9,,,,1.67,,,,,,
RFI,325,57.4501,315.40271,20.414,5.4974,34.595,2309.3201,8.145,1943.4,4.35,0.46,1.19,1.94,,,,,,
RFI,325,57.4501,315.40271,51.185,4.3237,34.694,2308.2,8.069,1989.7,9.73,0.85,4,1.86,,,,,,
RFI,325,57.4501,315.40271,101.127,4.5524,34.902,2313.55,8.018,2023.3,15.56,1.11,7.25,2.03,,,,,,
RFI,327,57.4492,316.95651,1.911,5.6066,34.711,2305.8899,8.098,1969.6,9.6,0.59,0,1.96,,,,,,
RFI,327,57.4492,316.95651,9.425,5.5769,34.726,2308.96,8.14,1945.2,9.71,0.68,0,1.92,,,,,,
RFI,327,57.4492,316.95651,19.988,5.4463,34.743,2314.3799,8.098,1976.9,9.78,0.6,0,1.87,,,,,,
RFI,327,57.4492,316.95651,50.268,5.4062,34.74,2309.46,8.089,1978.2,10.14,0.63,0.1,1.83,,,,,,
RFI,327,57.4492,316.95651,50.268,5.4062,34.74,2305.71,8.078,1981.6,,,,1.7,,,,,,
RFI,327,57.4492,316.95651,100.444,3.9918,34.771,2311,8.036,2011.5,13.64,1.01,6.79,1.6,,,,,,
RFI,327,57.4492,316.95651,100.444,3.9918,34.771,,8.032,,,,,,,,,,,
RFI,329,57.4492,318.88651,3.471,5.6934,34.744,2308.4199,8.122,1956.3,7.64,0.55,0,2.06,,,,,,
RFI,329,57.4492,318.88651,9.814,5.6105,34.772,2310.5901,8.121,1958.6,7.91,0.53,0,2.05,,,,,,
RFI,329,57.4492,318.88651,19.277,5.518,34.772,2311.4399,8.112,1965.2,8.77,0.55,0,2.01,,,,,,
RFI,329,57.4492,318.88651,49.6,4.4747,34.748,2306.6201,8.06,1993.3,12.28,0.88,4.76,1.73,,,,,,
RFI,329,57.4492,318.88651,101.272,3.7147,34.792,2305.28,8.033,2007.9,15.33,1.05,7.25,1.58,,,,,,
RFI,331,57.4501,320.78909,2.5,6.6868,34.7793,,,,9.25,0.65,0,,,,,,,
RFI,331,57.4501,320.78909,10.5,6.6017,34.7798,,,,9.38,0.64,0,,,,,,,
RFI,331,57.4501,320.78909,20.2,6.3424,34.8048,,,,9.39,0.62,0,,,,,,,
RFI,331,57.4501,320.78909,49.9,6.218,34.8033,,,,9.57,0.66,0,,,,,,,
RFI,331,57.4501,320.78909,100.4,4.3241,34.8162,,,,14.5,1.04,7.15,,,,,,,
RFI,333,57.4515,322.55701,1.9,6.6311,34.8136,,,,9.01,0.64,0,,,,,,,
RFI,333,57.4515,322.55701,10,6.6327,34.8129,,,,8.38,0.63,0,,,,,,,
RFI,333,57.4515,322.55701,20.3,6.4455,34.818,,,,9.09,0.64,0,,,,,,,
RFI,333,57.4515,322.55701,50,6.2612,34.8267,,,,9.58,0.71,0.43,,,,,,,
RFI,333,57.4515,322.55701,101.8,5.0205,34.8184,,,,15.01,1.04,6.82,,,,,,,
RFI,335,57.4506,323.91559,0.92,7.1496,34.78,2309.5601,8.078,1984.7,,,,2,,,,,,
RFI,335,57.4506,323.91559,10.517,7.1527,34.778,2309.27,8.08,1983.3,,,,2,,,,,,
RFI,335,57.4506,323.91559,20.527,6.8332,34.784,2310.3,8.084,1981.7,,,,1.99,,,,,,
RFI,335,57.4506,323.91559,50.863,6.7213,34.817,2312.55,8.073,1990.2,,,,1.94,,,,,,
RFI,335,57.4506,323.91559,100.866,5.5421,34.864,2313.48,8.023,2020.7,,,,1.67,,,,,,
RFG,401,55.7538,320.4967,7.511,6.9669,34.7275,2305.47,8.066,1988.8,8.73,0.69,0.23,1.7728,,,,,,
RFG,401,55.7538,320.4967,9.971,6.9628,,,,,9.16,0.66,0.22,1.912,,,,,,
RFG,401,55.7538,320.4967,20.212,6.9551,,,,,,,,,,,,,,
RFG,401,55.7538,320.4967,30.958,6.905,34.7276,2294.6001,8.028,2001.6,,,,,,,,,,
RFG,401,55.7538,320.4967,49.539,6.6027,,,,,,,,,,,,,,
RFG,401,55.7538,320.4967,102.839,4.8182,34.8398,2311.05,8.027,2016.3,14.89,1.14,7.17,1.6285,,,,,,
RFG,401,55.7538,320.4967,506.33,4.0728,,,,,,,,,,,,,,
RFG,401,55.7538,320.4967,1013.8279,3.7129,,,,,,,,,,,,,,
RFG,403,55.0862,319.17081,7.97,6.9135,34.7362,2302.3799,8.072,1982.3,9.42,0.69,0,1.9386,,,,,,
RFG,403,55.0862,319.17081,,,,,,,,,,,,,,,,
RFG,403,55.0862,319.17081,,,,,,,,,,,,,,,,
RFG,403,55.0862,319.17081,30.587,6.4104,,,,,,,,,,,,,,
RFG,403,55.0862,319.17081,49.865,6.0505,34.7852,2308.5801,8.052,1999.6,10.94,0.89,1.46,1.8017,,,,,,
RFG,403,55.0862,319.17081,104.348,4.7692,34.8385,2309.2,8.024,2016.4,15.37,1.16,7.18,1.614,,,,,,
RFG,403,55.0862,319.17081,506.245,4.0184,,,,,,,,,,,,,,
RFG,407,53.7546,316.5054,5.433,8.5639,34.5907,2300.45,8.07,1982.9,4.44,0.46,1.19,2.0443,,,,,,
RFG,407,53.7546,316.5054,9.965,8.5752,34.5903,2301.96,8.09,1972,4.6,0.44,1.25,2.1272,,,,,,
RFG,407,53.7546,316.5054,19.824,8.5581,34.5905,2297.46,8.061,1985.7,4.57,0.46,1.28,2.0019,,,,,,
RFG,407,53.7546,316.5054,30.71,8.429,,,,,,,,,,,,,,
RFG,407,53.7546,316.5054,50.53,7.9786,34.6092,2305.3999,8.067,1989.1,5.31,0.58,1.3,1.9838,,,,,,
RFG,407,53.7546,316.5054,101.676,6.2873,34.6459,2305.22,8.014,2019.9,13.1,1.02,6.3,1.6668,,,,,,
RFG,407,53.7546,316.5054,509.617,4.2906,,,,,,,,,,,,,,
RFG,408,53.133,314.7597,4.891,8.3958,34.5601,2296.98,8.069,1980.6,4.72,0.46,0.93,2.024,,,,,,
RFG,408,53.133,314.7597,10.371,8.3955,34.5602,2302.51,8.089,1973.4,4.71,0.47,0.77,2.1088,,,,,,
RFG,408,53.133,314.7597,21.159,8.2067,34.5687,2302.47,8.088,1973.9,4.77,0.52,1.07,2.0879,,,,,,
RFG,408,53.133,314.7597,29.921,8.0621,,,,,,,,,,,,,,
RFG,408,53.133,314.7597,49.857,7.7846,34.6064,2304.96,8.063,1991.1,5.58,0.63,1.57,1.954,,,,,,
RFG,408,53.133,314.7597,101.041,5.5476,34.6126,2302.6299,8.021,2013.8,11.4,1.03,5.66,1.6417,,,,,,
RFG,408,53.133,314.7597,504.511,4.3745,,,,,,,,,,,,,,
RFG,410,52.868,313.20981,5.674,9.028,34.6005,2303.8,8.098,1968.6,3.57,0.36,0.87,2.1991,,,,,,
RFG,410,52.868,313.20981,10.508,9.023,34.5989,2300.6001,8.08,1976.9,3.63,0.44,0.96,2.1186,,,,,,
RFG,410,52.868,313.20981,19.33,9.0257,34.6035,2303.47,8.096,1969.5,3.08,0.49,0.83,2.1866,,,,,,
RFG,410,52.868,313.20981,30.604,9.4119,,,,,,,,,,,,,,
RFG,410,52.868,313.20981,50.923,7.6729,34.6029,2304.24,8.076,1982.6,2.65,0.43,0.65,1.9957,,,,,,
RFG,410,52.868,313.20981,101.652,6.6381,34.6151,2314.47,7.975,2050.5,10.32,0.83,4.56,1.566,,,,,,
RFG,410,52.868,313.20981,505.25,4.3982,,,,,,,,,,,,,,
RFG,411,52.8657,311.75269,4.976,8.7909,34.54,2300.47,8.112,1957.3,2.87,0.31,0.6,2.2354,,,,,,
RFG,411,52.8657,311.75269,10.796,8.7122,34.5412,2291.3101,8.067,1976.9,2.95,0.34,0.75,2.032,,,,,,
RFG,411,52.8657,311.75269,18.666,8.6482,34.5427,2294.98,8.102,1958.6,2.96,0.33,0.59,2.1725,,,,,,
RFG,411,52.8657,311.75269,29.047,7.8044,,,,,,,,,,,,,,
RFG,411,52.8657,311.75269,49.076,7.0867,34.5709,2302.0601,8.072,1983.3,5.08,0.61,1.94,1.9357,,,,,,
RFG,411,52.8657,311.75269,101.528,4.9342,34.5653,2313.22,8.002,2034.7,13.28,1.06,6.6,1.5493,,,,,,
RFG,411,52.8657,311.75269,501.951,4.1548,,,,,,,,,,,,,,
RFG,412,53.6665,310.75378,4.539,9.3538,34.4306,2292.3,8.102,1957.2,0.67,0.17,0.3,2.2251,,,,,,
RFG,412,53.6665,310.75378,9.579,9.0516,34.4265,2289.74,8.123,1941.6,0.62,0.28,0.36,2.2883,,,,,,
RFG,412,53.6665,310.75378,20.552,9.0074,34.4342,2293.0801,8.132,1938.8,0.72,0.25,0.4,2.3253,,,,,,
RFG,412,53.6665,310.75378,30.303,8.5241,,,,,,,,,,,,,,
RFG,412,53.6665,310.75378,51.98,7.6478,34.542,2299.29,8.078,1977.4,4.25,0.54,1.73,1.9952,,,,,,
RFG,412,53.6665,310.75378,102.64,5.85,34.5927,2301.8899,7.997,2026.9,12.9,1.1,6.71,1.5801,,,,,,
RFG,412,53.6665,310.75378,507.34,4.2451,,,,,,,,,,,,,,
RFG,412,53.6665,310.75378,1012.424,3.835,,,,,,,,,,,,,,
RFG,414,53.6665,312.42999,6.236,7.7755,,,,,,,,,,,,,,
RFG,414,53.6665,312.42999,10.693,7.7735,34.462,2285.1599,8.064,1973.8,3.71,0.33,1.03,1.9447,,,,,,
RFG,414,53.6665,312.42999,20.543,7.6288,34.4709,2297.3201,8.112,1955,3.52,0.4,1.08,2.1351,,,,,,
RFG,414,53.6665,312.42999,30.896,6.8828,,,,,,,,,,,,,,
RFG,414,53.6665,312.42999,50.343,6.4431,34.5276,2306.6201,8.069,1989.6,6.36,0.66,2.95,1.8816,,,,,,
RFG,414,53.6665,312.42999,102.182,4.8358,34.5656,2300.8401,8.035,2004.4,16.95,1.24,8.55,1.6414,,,,,,
RFG,414,53.6665,312.42999,504.21,4.1879,,,,,,,,,,,,,,
RFG,416,53.6667,313.4993,6.157,7.7911,34.5066,2289.0901,8.058,1980.6,4.19,0.4,0.02,1.9287,,,,,,
RFG,416,53.6667,313.4993,10.297,7.7779,34.5069,2279.46,8.035,1985.4,4.27,0.44,0.27,1.8327,,,,,,
RFG,416,53.6667,313.4993,19.361,7.783,34.5051,2292.95,8.082,1969.5,4.2,0.41,0.03,2.022,,,,,,
RFG,416,53.6667,313.4993,29.913,7.7275,,,,,,,,,,,,,,
RFG,416,53.6667,313.4993,50.547,6.843,34.528,2300.52,8.07,1983.5,6.01,0.56,0.94,1.908,,,,,,
RFG,416,53.6667,313.4993,100.419,4.9226,34.55,2295.3301,8.029,2003,11.82,0.95,5.95,1.6229,,,,,,
RFG,416,53.6667,313.4993,1006.48,3.808,,,,,,,,,,,,,,
RFG,416,53.6667,313.4993,505.482,4.2435,,,,,,,,,,,,,,
RFG,417,54.0788,314.59949,5.305,7.0117,34.5281,2293.1201,8.091,1963.9,5.62,0.6,0.13,2.0057,,,,,,
RFG,417,54.0788,314.59949,9.845,6.9868,,,,,,,,,,,,,,
RFG,417,54.0788,314.59949,19.685,6.9988,,,,,,,,,,,,,,
RFG,417,54.0788,314.59949,31.556,5.9885,,,,,,,,,,,,,,
RFG,417,54.0788,314.59949,50.895,5.4214,,,,,,,,,,,,,,
RFG,417,54.0788,314.59949,101.499,4.2077,,,,,,,,,,,,,,
RFG,417,54.0788,314.59949,1015.76,3.7607,,,,,,,,,,,,,,
RFG,417,54.0788,314.59949,504.598,4.0822,,,,,,,,,,,,,,
RFG,419,54.4892,314.95221,2.566,6.8377,34.5506,2297.0601,8.092,1966.7,6.26,0.57,0,2.0019,,,,,,
RFG,419,54.4892,314.95221,8.927,6.8381,,,,,,,,,,,,,,
RFG,419,54.4892,314.95221,20.962,6.8403,,,,,,,,,,,,,,
RFG,419,54.4892,314.95221,28.757,6.8395,,,,,,,,,,,,,,
RFG,419,54.4892,314.95221,50.473,6.0724,,,,,,,,,,,,,,
RFG,419,54.4892,314.95221,101.823,4.0589,,,,,,,,,,,,,,
RFG,419,54.4892,314.95221,1013.108,3.7753,,,,,,,,,,,,,,
RFG,419,54.4892,314.95221,503.952,4.0555,,,,,,,,,,,,,,
RFG,421,54.5003,313.21701,6.944,7.1839,34.4394,2286.1299,8.082,1963.9,4.27,0.43,0.12,1.9734,,,,,,
RFG,421,54.5003,313.21701,9.748,7.16,,,,,,,,,,,,,,
RFG,421,54.5003,313.21701,20.047,7.1738,,,,,,,,,,,,,,
RFG,421,54.5003,313.21701,31.278,6.9568,,,,,,,,,,,,,,
RFG,421,54.5003,313.21701,51.728,5.9661,,,,,,,,,,,,,,
RFG,421,54.5003,313.21701,97.33,4.508,,,,,,,,,,,,,,
RFG,421,54.5003,313.21701,505.097,4.1495,,,,,,,,,,,,,,
RFG,422,54.5003,311.5235,6.429,8.7396,34.4251,2299.02,8.098,1965.7,1.87,0.32,1.06,2.166,,,,,,
RFG,422,54.5003,311.5235,10.086,8.7383,,,,,,,,,,,,,,
RFG,422,54.5003,311.5235,19.798,8.7429,,,,,,,,,,,,,,
RFG,422,54.5003,311.5235,31.4,8.6677,,,,,,,,,,,,,,
RFG,422,54.5003,311.5235,52.404,6.3888,,,,,,,,,,,,,,
RFG,422,54.5003,311.5235,100.86,4.4439,,,,,,,,,,,,,,
RFG,422,54.5003,311.5235,509.549,4.1804,,,,,,,,,,,,,,
RFG,424,54.5003,310.00031,5.427,7.5382,34.2212,2288.4399,8.095,1959.7,3.03,0.38,1.2,2.0462,,,,,,
RFG,424,54.5003,310.00031,9.759,7.5369,,,,,,,,,,,,,,
RFG,424,54.5003,310.00031,20.707,7.5163,,,,,,,,,,,,,,
RFG,424,54.5003,310.00031,31.598,6.7057,,,,,,,,,,,,,,
RFG,424,54.5003,310.00031,49.274,5.8751,,,,,,,,,,,,,,
RFG,424,54.5003,310.00031,101.268,4.4389,,,,,,,,,,,,,,
RFG,424,54.5003,310.00031,503.914,4.0797,,,,,,,,,,,,,,
RFG,424,54.5003,310.00031,1013.701,3.7978,,,,,,,,,,,,,,
RFG,425,55.4993,309.24481,5.547,6.3679,34.3964,2280.24,8.079,1960.8,5.57,0.46,1.97,1.8982,,,,,,
RFG,425,55.4993,309.24481,10.475,6.3696,34.3954,2288.5701,8.076,1970.1,5.52,0.62,1.98,1.8929,,,,,,
RFG,425,55.4993,309.24481,20.028,6.3682,34.3957,2287.03,8.077,1968.1,,,,1.893,,,,,,
RFG,425,55.4993,309.24481,50.832,5.7448,34.4274,2286.8799,8.083,1964.1,6.24,0.68,2.48,1.866,,,,,,
RFG,425,55.4993,309.24481,101.32,3.7748,34.579,2288.1699,8.034,1993.3,13.54,1.04,6.54,1.5654,,,,,,
RFG,425,55.4993,309.24481,1010.459,3.6728,,,,,,,,,,,,,,
RFG,425,55.4993,309.24481,505.579,4.0093,,,,,,,,,,,,,,
RFG,427,55.4975,311.00922,5.013,6.4717,34.4438,2299.3999,8.096,1967.2,4.51,0.39,0.66,1.9893,,,,,,
RFG,427,55.4975,311.00922,11.23,6.4725,34.4438,2290.5701,8.088,1964.2,4.62,0.46,0.8,1.9489,,,,,,
RFG,427,55.4975,311.00922,19.365,6.4712,34.4438,2286.22,8.105,1949.7,4.58,0.35,0.59,2.0093,,,,,,
RFG,427,55.4975,311.00922,30.316,6.3432,,,,,,,,,,,,,,
RFG,427,55.4975,311.00922,50.972,4.5945,34.5135,2278.8201,8.06,1970,9.27,0.79,3.7,1.7038,,,,,,
RFG,427,55.4975,311.00922,102.098,4.044,34.6546,2298.1699,8.016,2012.3,16.34,1.19,8.26,1.5331,,,,,,
RFG,427,55.4975,311.00922,506.059,3.8417,,,,,,,,,,,,,,
RFG,429,55.5,312.98419,4.616,6.4748,34.6163,2301.3501,8.078,1978.7,6.23,0.51,0.04,1.9269,,,,,,
RFG,429,55.5,312.98419,10.017,6.2385,34.6146,2298.5701,8.079,1975.6,5.93,0.58,0.08,1.9104,,,,,,
RFG,429,55.5,312.98419,19.661,6.17,34.6154,2296.21,8.096,1962.9,5.93,0.56,0.2,1.9664,,,,,,
RFG,429,55.5,312.98419,30.274,6.1409,,,,,,,,,,,,,,
RFG,429,55.5,312.98419,50.85,4.6063,34.6887,2300.1001,8.043,1998.1,10.53,0.92,2.18,1.6677,,,,,,
RFG,429,55.5,312.98419,101.842,3.7185,34.7514,2302.8701,8.032,2006.6,14.07,1.09,6.86,1.5704,,,,,,
RFG,429,55.5,312.98419,505.583,3.7617,,,,,,,,,,,,,,
RFG,431,55.47,315.4187,1.836,6.2809,34.5675,2307.3899,8.08,1983.3,6.17,0.62,0.18,1.9253,,,,,,
RFG,431,55.47,315.4187,9.344,6.2827,34.5676,2287.6899,8.077,1967.3,6.92,0.62,0.13,1.8954,,,,,,
RFG,431,55.47,315.4187,21.119,6.1825,34.5844,2301.8301,8.074,1981.8,6.77,0.62,0.18,1.8869,,,,,,
RFG,431,55.47,315.4187,30.987,6.1633,,,,,,,,,,,,,,
RFG,431,55.47,315.4187,52.256,5.8334,34.6006,2301.3101,8.073,1981.8,5.82,0.68,0.52,1.8519,,,,,,
RFG,431,55.47,315.4187,101.207,4.0051,34.6976,2305.2,8.017,2017.8,11.45,1.13,5.9,1.5401,,,,,,
RFG,431,55.47,315.4187,504.377,3.8668,,,,,,,,,,,,,,
RFG,433,55.5002,316.99969,5.212,6.5082,34.599,2266.0901,8.075,1948.9,7.11,0.57,0.29,1.8869,,,,,,
RFG,433,55.5002,316.99969,9.652,6.5071,34.5993,2297.03,8.055,1988.8,7.13,0.63,0.16,1.8377,,,,,,
RFG,433,55.5002,316.99969,20.271,6.5042,34.6014,2290.6201,8.08,1967.9,7.22,0.62,0.18,1.9231,,,,,,
RFG,433,55.5002,316.99969,31.342,6.4504,,,,,,,,,,,,,,
RFG,433,55.5002,316.99969,52.059,6.0712,34.6341,2295.9099,8.074,1976.1,7.89,0.7,0.32,1.8684,,,,,,
RFG,433,55.5002,316.99969,101.136,4.2563,34.7129,2302.8701,8.032,2006.9,13.56,1.08,6.45,1.6018,,,,,,
RFG,433,55.5002,316.99969,504.808,4.0356,,,,,,,,,,,,,,
RFG,434,55.8878,318.2847,6.736,6.6173,34.7141,2295,8.05,1989.1,8.09,0.62,0.46,1.8291,,,,,,
RFG,434,55.8878,318.2847,9.119,6.617,34.7125,2300.2,8.054,1991.4,6.46,0.62,0.25,1.8475,,,,,,
RFG,434,55.8878,318.2847,20.789,6.6208,34.7266,2295.03,8.07,1977,9.34,0.69,0.27,1.9008,,,,,,
RFG,434,55.8878,318.2847,31.434,6.6249,,,,,,,,,,,,,,
RFG,434,55.8878,318.2847,50.243,6.2995,34.7605,2301.1799,8.064,1985.904297,10.08,0.81,1.78,1.8555,,,,,,
RFG,434,55.8878,318.2847,101.592,4.9483,34.838,2304.8301,8.024,2012.382202,15.25,1.1,7.11,1.6223,,,,,,
RFG,434,55.8878,318.2847,505.521,3.8932,,,,,,,,,,,,,,
RFG,434,55.8878,318.2847,1008.686,3.7094,,,,,,,,,,,,,,
RFG,436,56.3213,318.90948,3.377,6.5924,34.7291,2308.99,8.056,1998.038452,8.95,0.69,0.54,1.8623,,,,,,
RFG,436,56.3213,318.90948,9.708,6.5967,,,,,,,,,,,,,,
RFG,436,56.3213,318.90948,22.373,6.5931,,,,,,,,,,,,,,
RFG,436,56.3213,318.90948,30.561,6.5983,,,,,,,,,,,,,,
RFG,436,56.3213,318.90948,50.712,6.3193,,,,,,,,,,,,,,
RFG,436,56.3213,318.90948,102.011,4.5142,,,,,,,,,,,,,,
RFG,436,56.3213,318.90948,504.63,4.1097,,,,,,,,,,,,,,
RFG,436,56.3213,318.90948,1012.592,3.8013,,,,,,,,,,,,,,
RFG,438,56.2508,317.155,6.008,6.3007,34.6375,2301.95,8.076,1980.252808,5.56,0.54,0,1.9079,,,,,,
RFG,438,56.2508,317.155,9.303,6.2493,,,,,,,,,,,,,,
RFG,438,56.2508,317.155,20.67,5.9887,,,,,,,,,,,,,,
RFG,438,56.2508,317.155,30.107,5.9581,,,,,,,,,,,,,,
RFG,438,56.2508,317.155,53.437,5.172,,,,,,,,,,,,,,
RFG,438,56.2508,317.155,99.604,3.9494,,,,,,,,,,,,,,
RFG,438,56.2508,317.155,507.026,3.8315,,,,,,,,,,,,,,
RFG,439,56.2492,315.3577,6.9,6.0096,34.6479,2296.3301,8.098,1961.502441,6.8,0.64,0.16,1.967,,,,,,
RFG,439,56.2492,315.3577,9.76,6.0081,,,,,,,,,,,,,,
RFG,439,56.2492,315.3577,20.333,5.849,,,,,,,,,,,,,,
RFG,439,56.2492,315.3577,30.013,5.7977,,,,,,,,,,,,,,
RFG,439,56.2492,315.3577,49.885,4.4798,,,,,,,,,,,,,,
RFG,439,56.2492,315.3577,100.211,3.7935,,,,,,,,,,,,,,
RFG,439,56.2492,315.3577,506.014,3.7732,,,,,,,,,,,,,,
RFG,441,56.2492,313.5675,3.708,6.2513,34.6135,2299.5801,8.076,1978.307251,7.17,0.6,0,1.9023,,,,,,
RFG,441,56.2492,313.5675,10.136,6.2496,,,,,,,,,,,,,,
RFG,441,56.2492,313.5675,20.388,6.2018,,,,,,,,,,,,,,
RFG,441,56.2492,313.5675,30.437,6.0224,,,,,,,,,,,,,,
RFG,441,56.2492,313.5675,49.875,5.7514,,,,,,,,,,,,,,
RFG,441,56.2492,313.5675,102.109,3.708,,,,,,,,,,,,,,
RFG,441,56.2492,313.5675,505.102,3.8541,,,,,,,,,,,,,,
RFG,443,56.248,311.36749,3.17,7.0284,34.4788,2296.78,8.101,1961.404053,4.62,0.38,0,2.0491,,,,,,
RFG,443,56.248,311.36749,8.326,6.8714,,,,,,,,,,,,,,
RFG,443,56.248,311.36749,19.501,6.3227,,,,,,,,,,,,,,
RFG,443,56.248,311.36749,30.707,5.9351,,,,,,,,,,,,,,
RFG,443,56.248,311.36749,51.243,5.4035,,,,,,,,,,,,,,
RFG,443,56.248,311.36749,101.34,3.6505,,,,,,,,,,,,,,
RFG,443,56.248,311.36749,502.075,3.9448,,,,,,,,,,,,,,
RFG,444,56.2505,309.50281,4.971,6.5177,34.4774,2288.6899,8.101,1954.166016,4.25,0.36,0.12,2.0038,,,,,,
RFG,444,56.2505,309.50281,10.445,6.5078,,,,,,,,,,,,,,
RFG,444,56.2505,309.50281,21.037,5.6413,,,,,,,,,,,,,,
RFG,444,56.2505,309.50281,29.851,5.4469,,,,,,,,,,,,,,
RFG,444,56.2505,309.50281,50.868,4.5929,,,,,,,,,,,,,,
RFG,444,56.2505,309.50281,102.667,3.2865,,,,,,,,,,,,,,
RFG,444,56.2505,309.50281,513.745,3.5576,,,,,,,,,,,,,,
RFG,444,56.2505,309.50281,1007.984,3.4416,,,,,,,,,,,,,,
RFG,446,56.9985,309.00201,2.044,6.271,34.4595,2290.1201,8.084,1966.112549,5.96,0.5,1.45,1.9216,,,,,,
RFG,446,56.9985,309.00201,10.582,6.2744,34.4598,2300.0801,8.07,1983.623535,5.91,0.52,1.38,1.8755,,,,,,
RFG,446,56.9985,309.00201,20.925,5.9876,34.4531,2292.1201,8.096,1960.552246,5.99,0.55,1.66,1.9445,,,,,,
RFG,446,56.9985,309.00201,31.218,5.9601,,,,,,,,,,,,,,
RFG,446,56.9985,309.00201,51.464,4.5277,34.5004,2285.79,8.074,1967.988892,8.54,0.76,3.1,1.7531,,,,,,
RFG,446,56.9985,309.00201,98.472,3.4488,34.6025,2302.8799,8.042,2001.817383,12.68,1.03,6.19,1.5832,,,,,,
RFG,446,56.9985,309.00201,505.931,3.8814,,,,,,,,,,,,,,
RFG,446,56.9985,309.00201,1013.155,3.6769,,,,,,,,,,,,,,
RFG,447,56.9978,310.82529,4.157,6.6142,34.4217,2304.7,8.078,1983.214844,5.3,0.42,1.42,1.9338,,,,,,
RFG,447,56.9978,310.82529,10.37,6.572,34.4223,2286.27,8.073,1969.641357,5.48,0.47,1.43,1.8946,,,,,,
