Cruise,Station,Latitude ,Longitude,CTDPRS [DBARS],CTDTMP [ITS-90],SALNTY [PSS-78],TALK [UMOL/KG],pH [UMOL/KG],TCO2 in (mmol/kgSW),NO2+NO3 [umol/kg],PO4 [UMOL/KG],SiO2 [umol/kg],Ar,,,,,,
RFI,257,63.449,332.84698,10.678,8.622,35.055,2324.5701,8.098,1983.5,7.51,0.61,1.21,1.9,,,,,,
RFI,257,63.449,332.84698,21.398,8.314,35.061,2321.3101,8.094,1983.1,7.89,0.6,1.26,1.87,,,,,,
RFI,257,63.449,332.84698,50.881,7.6332,35.099,2325.5701,8.052,2012.6,10.42,0.77,3.28,2.21,,,,,,
RFI,257,63.449,332.84698,101.016,7.4825,35.11,2331.23,8.032,2029.7,12.86,0.88,5.02,2.21,,,,,,
RFI,259,62.4558,332.84549,3.297,8.9366,35.058,2321.5801,8.093,1984,7.52,0.6,1.11,2.16,,,,,,
RFI,259,62.4558,332.84549,9.758,8.5127,35.051,2303.24,8.102,1961.9,7.62,0.58,1.21,2.19,,,,,,
RFI,259,62.4558,332.84549,20.063,7.9962,35.066,2323.74,8.071,1999.6,9.28,0.68,1.74,1.94,,,,,,
RFI,259,62.4558,332.84549,50.048,7.5534,35.08,2325.6299,8.04,2020,11.67,0.82,4.2,1.85,,,,,,
RFI,259,62.4558,332.84549,101.221,7.5678,35.116,2324.74,8.025,2027.9,13.34,0.9,5.44,2.21,,,,,,
RFI,261,62.4519,331.51831,3.202,8.9058,35.045,2320.5,8.09,1985,7.25,0.59,2.53,2.2,,,,,,
RFI,261,62.4519,331.51831,9.444,8.8939,35.049,2321.5901,8.086,1988.4,7.52,0.6,2.43,2.05,,,,,,
RFI,261,62.4519,331.51831,20.16,8.1026,35.027,2319.6499,8.063,2001.1,9.54,0.7,3.07,1.89,,,,,,
RFI,261,62.4519,331.51831,50.666,7.6215,35.043,2323.0901,8.039,2018.6,11.2,0.81,3.88,1.83,,,,,,
RFI,261,62.4519,331.51831,100.818,7.3217,35.049,2319.49,8.028,2021.8,12.77,0.87,5.17,2.2,,,,,,
RFI,263,62.4515,329.82471,2.495,8.3183,35.005,2324.1101,8.13,1962.8,6.02,0.44,0.27,2.18,,,,,,
RFI,263,62.4515,329.82471,11.316,8.3064,35.003,2323.0801,8.133,1960,6.02,0.43,0.14,2.02,,,,,,
RFI,263,62.4515,329.82471,20.11,8.2222,35.007,2326.01,8.125,1967.8,6.38,0.47,0.23,1.89,,,,,,
RFI,263,62.4515,329.82471,51.022,7.081,35.041,2320.3999,8.058,2004.7,10.65,0.77,4.4,1.81,,,,,,
RFI,263,62.4515,329.82471,102.315,6.529,35.041,2324.23,8.02,2030.9,14.35,1,6.8,2.33,,,,,,
RFI,265,62.4506,327.96082,2.502,7.6889,34.965,2321.0601,8.113,1971.5,7.34,0.51,0.29,2.33,,,,,,
